anatomy,filename,date,path
Heart,popart_heart_2025-06-27.png,2025-06-27,anatomy_posters\popart_heart_2025-06-27.png
Lung,popart_lung_2025-06-27.png,2025-06-27,anatomy_posters\popart_lung_2025-06-27.png
Kidney,popart_kidney_2025-06-27.png,2025-06-27,anatomy_posters\popart_kidney_2025-06-27.png
Eye,popart_eye_2025-06-27.png,2025-06-27,anatomy_posters\popart_eye_2025-06-27.png
Brain,popart_brain_2025-06-27.png,2025-06-27,anatomy_posters\popart_brain_2025-06-27.png
Bladder,popart_bladder_2025-06-27.png,2025-06-27,anatomy_posters\popart_bladder_2025-06-27.png
Abdomen,popart_abdomen_2025-06-27.png,2025-06-27,anatomy_posters\popart_abdomen_2025-06-27.png
Uterus,popart_uterus_2025-06-27.png,2025-06-27,anatomy_posters\popart_uterus_2025-06-27.png
Skeleton,popart_skeleton_2025-06-27.png,2025-06-27,anatomy_posters\popart_skeleton_2025-06-27.png
Muscles,popart_muscles_2025-06-27.png,2025-06-27,anatomy_posters\popart_muscles_2025-06-27.png
Nervous system,popart_nervous_system_2025-06-27.png,2025-06-27,anatomy_posters\popart_nervous_system_2025-06-27.png
Venous system,popart_venous_system_2025-06-27.png,2025-06-27,anatomy_posters\popart_venous_system_2025-06-27.png
Arterial system,popart_arterial_system_2025-06-27.png,2025-06-27,anatomy_posters\popart_arterial_system_2025-06-27.png
Ear,popart_ear_2025-06-27.png,2025-06-27,anatomy_posters\popart_ear_2025-06-27.png
Nose,popart_nose_2025-06-27.png,2025-06-27,anatomy_posters\popart_nose_2025-06-27.png
Throat,popart_throat_2025-06-27.png,2025-06-27,anatomy_posters\popart_throat_2025-06-27.png
Knee,popart_knee_2025-06-27.png,2025-06-27,anatomy_posters\popart_knee_2025-06-27.png
Ankle,popart_ankle_2025-06-27.png,2025-06-27,anatomy_posters\popart_ankle_2025-06-27.png
Shoulder,popart_shoulder_2025-06-27.png,2025-06-27,anatomy_posters\popart_shoulder_2025-06-27.png
Vertebrae,popart_vertebrae_2025-06-27.png,2025-06-27,anatomy_posters\popart_vertebrae_2025-06-27.png
Elbow,popart_elbow_2025-06-27.png,2025-06-27,anatomy_posters\popart_elbow_2025-06-27.png
Hand,popart_hand_2025-06-27.png,2025-06-27,anatomy_posters\popart_hand_2025-06-27.png
Foot,popart_foot_2025-06-27.png,2025-06-27,anatomy_posters\popart_foot_2025-06-27.png
Male genitalia,popart_male_genitalia_2025-06-27.png,2025-06-27,anatomy_posters\popart_male_genitalia_2025-06-27.png
Female genitalia,popart_female_genitalia_2025-06-27.png,2025-06-27,anatomy_posters\popart_female_genitalia_2025-06-27.png
Oral cavity,popart_oral_cavity_2025-06-27.png,2025-06-27,anatomy_posters\popart_oral_cavity_2025-06-27.png
Skin,popart_skin_2025-06-27.png,2025-06-27,anatomy_posters\popart_skin_2025-06-27.png
Head,popart_head_2025-06-27.png,2025-06-27,anatomy_posters\popart_head_2025-06-27.png
